h,Coherence
0.01,1.0012819441223755
0.11,1.0941653995638436
0.21,1.2968030268855735
0.31,1.5868550642084853
0.41,1.952878164008054
0.51,2.3857107476856627
0.61,2.8792878638732593
0.71,3.4323272097399076
0.81,4.036162534577581
0.91,4.693979200717215
1.01,5.398583685527871
1.11,6.158011318849187
1.21,6.953252584569941
1.31,7.7999108417364535
1.41,8.677107013522802
1.51,9.67485356167685
1.61,10.626344992233113
1.71,11.665543693972758
1.81,12.761080238158408
1.91,13.961493837825621
2.01,15.063669106811428
