h,Magic
0.01,0.0002885408117538901
0.11,0.03494004767301284
0.21,0.12762183133064298
0.31,0.2792933093660164
0.41,0.4925126344828872
0.51,0.7738896517662219
0.61,1.1383844882352427
0.71,1.6114445344036081
0.81,2.206238681662388
0.91,2.8095036123319446
1.01,3.046064012295112
1.11,2.7628390980341315
1.21,2.31168758476673
1.31,1.9155379439273972
1.41,1.6072666182382456
1.51,1.3702331027811283
1.61,1.1850851851059208
1.71,1.037420618626406
1.81,0.9173218080499357
1.91,0.8179784507550885
2.01,0.7346244616761837
